Drivers,Year,Australia,Malaysia,China,Turkey,Bahrain,Spain,Monaco,Canada,Europe,France,Azerbaijan,Austria,Britain,Germany,Hungary,Belgium,Italy,Netherlands,Singapore,Japan,Russia,Emilia_Romagna,South_Korea,India,Abu_Dhabi,Qatar,Saudi_Arabia,USA,Brazil,Las_Vagas,Miami,Mexico,Total_Points
M. VERSTAPPEN,2023,25,NA,NA,NA,25,26,25,25,NA,NA,24,34,26,NA,26,33,25,25,10,26,NA,NA,NA,NA,26,33,19,33,33,25,26,25,575
S. PEREZ,2023,11,NA,NA,NA,18,12,-,9,NA,NA,33,22,8,NA,15,18,18,12,4,-,NA,NA,NA,NA,12,1,25,16,18,15,18,-,285
L. HAMILTON,2023,18,NA,NA,NA,10,18,13,15,NA,NA,10,4,15,NA,12,15,8,8,16,10,NA,NA,NA,NA,2,4,10,7,6,6,8,19,234
F. ALONSO,2023,15,NA,NA,NA,15,6,18,18,NA,NA,15,14,6,NA,2,10,2,19,-,4,NA,NA,NA,NA,6,9,15,-,15,2,15,-,206
C. LECLERC,2023,-,NA,NA,NA,-,-,8,12,NA,NA,22,18,2,NA,6,19,12,-,12,12,NA,NA,NA,NA,18,10,6,6,4,18,6,15,206
L. NORRIS,2023,8,NA,NA,NA,-,-,2,-,NA,NA,2,12,18,NA,18,9,4,6,18,18,NA,NA,NA,NA,10,21,-,23,26,-,-,10,205
C. SAINZ,2023,-,NA,NA,NA,12,10,4,10,NA,NA,14,14,1,NA,4,5,15,10,25,8,NA,NA,NA,NA,-,3,8,18,9,8,10,12,200
G. RUSSELL,2023,-,NA,NA,NA,6,15,10,-,NA,NA,10,7,10,NA,8,9,10,-,-,6,NA,NA,NA,NA,15,17,12,11,5,4,12,8,175
O. PIASTRI,2023,4,NA,NA,NA,-,-,1,-,NA,NA,-,-,12,NA,10,7,-,2,6,15,NA,NA,NA,NA,8,26,-,-,-,2,-,4,97
L. STROLL,2023,12,NA,NA,NA,8,8,-,2,NA,NA,7,7,-,NA,1,2,-,-,-,-,NA,NA,NA,NA,1,-,-,6,10,10,-,-,74
P. GASLY,2023,-,NA,NA,NA,2,1,6,-,NA,NA,-,1,-,NA,-,6,-,15,8,1,NA,NA,NA,NA,-,-,2,10,6,-,4,-,62
E. OCON,2023,-,NA,NA,NA,-,4,15,4,NA,NA,-,2,-,NA,-,4,-,1,-,2,NA,NA,NA,NA,-,6,4,-,1,12,2,1,58
A. ALBON,2023,-,NA,NA,NA,1,-,-,6,NA,NA,-,-,4,NA,-,-,6,4,-,-,NA,NA,NA,NA,-,2,-,2,-,-,-,2,27
Y. TSUNODA,2023,1,NA,NA,NA,-,-,-,-,NA,NA,1,-,-,NA,-,1,-,-,-,-,NA,NA,NA,NA,4,-,-,5,5,-,-,-,17
V. BOTTAS,2023,-,NA,NA,NA,4,-,-,1,NA,NA,-,-,-,NA,-,-,1,-,-,-,NA,NA,NA,NA,-,4,-,-,-,-,-,-,10
N. HULKENBERG,2023,6,NA,NA,NA,-,-,-,-,NA,NA,-,3,-,NA,-,-,-,-,-,-,NA,NA,NA,NA,-,-,-,-,-,-,-,-,9
D. RICCIARDO,2023, ,NA,NA,NA, , , , ,NA,NA, , , ,NA,-,-, ,-, , ,NA,NA,NA,NA,-, , ,-,-,-, ,6,6
G. ZHOU,2023,2,NA,NA,NA,-,2,-,-,NA,NA,-,-,-,NA,-,-,-,-,-,-,NA,NA,NA,NA,-,2,-,-,-,-,-,-,6
K. MAGNUSSEN,2023,-,NA,NA,NA,-,-,-,-,NA,NA,-,-,-,NA,-,-,-,-,1,-,NA,NA,NA,NA,-,-,1,-,-,-,1,-,3
L. LAWSON,2023, ,NA,NA,NA, , , , ,NA,NA, , , ,NA, , ,-,-,2,-,NA,NA,NA,NA, ,-, , , , , , ,2
L. SARGEANT,2023,-,NA,NA,NA,-,-,-,-,NA,NA,-,-,-,NA,-,-,-,-,-,-,NA,NA,NA,NA,-,-,-,1,-,-,-,-,1
N. de VRIES,2023,-,NA,NA,NA,-,-,-,-,NA,NA,-,-,-,NA, , , , , , ,NA,NA,NA,NA, , ,-, , , ,-, ,0
