Drivers,Year,Australia,Malaysia,China,Turkey,Bahrain,Spain,Monaco,Canada,Europe,France,Azerbaijan,Austria,Britain,Germany,Hungary,Belgium,Italy,Netherlands,Singapore,Japan,Russia,Emilia_Romagna,South_Korea,India,Abu_Dhabi,Qatar,Saudi_Arabia,USA,Brazil,Las_Vagas,Miami,Mexico,Total_Points
L. HAMILTON,2018,18,18,12,NA,NA,25,15,10,NA,25,25,-,18,25,25,18,25,NA,25,25,25,NA,NA,25,25,NA,NA,15,25,NA,NA,12,408
S. VETTEL,2018,25,12,4,NA,NA,12,18,25,NA,10,12,15,25,-,18,25,12,NA,15,8,15,NA,NA,18,18,NA,NA,12,8,NA,NA,18,320
K. RAIKKONEN,2018,15,10,15,NA,NA,-,12,8,NA,15,18,18,15,15,15,-,18,NA,10,10,12,NA,NA,6,-,NA,NA,25,15,NA,NA,15,251
M. VERSTAPPEN,2018,8,-,10,NA,NA,15,2,15,NA,18,-,25,-,12,-,15,10,NA,18,15,10,NA,NA,15,15,NA,NA,18,18,NA,NA,25,249
V. BOTTAS,2018,4,15,18,NA,NA,18,10,18,NA,6,-,-,12,18,10,12,15,NA,12,18,18,NA,NA,4,10,NA,NA,10,10,NA,NA,10,247
D. RICCIARDO,2018,12,25,25,NA,NA,10,25,12,NA,12,-,-,10,-,12,-,-,NA,8,12,8,NA,NA,8,12,NA,NA,-,12,NA,NA,-,170
N. HULKENBERG,2018,6,8,8,NA,NA,-,4,6,NA,2,-,-,8,10,-,-,-,NA,1,-,-,NA,NA,-,-,NA,NA,8,-,NA,NA,8,69
S. PEREZ,2018,-,1,-,NA,NA,2,-,-,NA,-,15,6,1,6,-,10,6,NA,-,6,1,NA,NA,12,4,NA,NA,4,1,NA,NA,-,62
K. MAGNUSSEN,2018,-,-,1,NA,NA,8,-,-,NA,8,-,10,2,-,6,4,-,NA,-,-,4,NA,NA,-,1,NA,NA,-,2,NA,NA,-,56
C. SAINZ,2018,1,-,2,NA,NA,6,1,4,NA,4,10,-,-,-,2,-,4,NA,4,1,-,NA,NA,1,8,NA,NA,6,-,NA,NA,-,53
F. ALONSO,2018,10,2,6,NA,NA,4,-,-,NA,-,6,4,4,-,4,-,-,NA,6,-,-,NA,NA,10,-,NA,NA,-,-,NA,NA,-,50
E. OCON,2018,-,4,-,NA,NA,-,8,2,NA,-,-,8,6,4,-,8,8,NA,-,2,2,NA,NA,2,-,NA,NA,-,-,NA,NA,-,49
C. LECLERC,2018,-,-,-,NA,NA,1,-,1,NA,1,8,2,-,-,-,-,-,NA,2,-,6,NA,NA,-,6,NA,NA,-,6,NA,NA,6,39
R. GROSJEAN,2018,-,-,-,NA,NA,-,-,-,NA,-,-,12,-,8,1,6,-,NA,-,4,-,NA,NA,-,2,NA,NA,-,4,NA,NA,-,37
P. GASLY,2018,-,-,-,NA,NA,-,6,-,NA,-,-,-,-,-,8,2,-,NA,-,-,-,NA,NA,-,-,NA,NA,-,-,NA,NA,1,29
S. VANDOORNE,2018,2,6,-,NA,NA,-,-,-,NA,-,2,-,-,-,-,-,-,NA,-,-,-,NA,NA,-,-,NA,NA,-,-,NA,NA,4,12
M. ERICSSON,2018,-,-,-,NA,NA,-,-,-,NA,-,-,1,-,2,-,1,-,NA,-,-,-,NA,NA, ,-,NA,NA,1,-,NA,NA,2,9
L. STROLL,2018,-,-,-,NA,NA,-,-,-,NA,-,4,-,-,-,-,-,2,NA,-,-,-,NA,NA,-,-,NA,NA,-,-,NA,NA,-,6
B. HARTLEY,2018,-, ,-,NA,NA,-,-,-,NA,-,1,-,-,1,-,-,-,NA,-,-,-,NA,NA,-,-,NA,NA,2,-,NA,NA,-,4
S. SIROTKIN,2018,-,-,-,NA,NA,-,-,-,NA,-,-,-,-,-,-,-,1,NA,-,-,-,NA,NA,-,-,NA,NA,-,-,NA,NA,-,1
