Drivers,Driver_id,2011,2012,2013,2014,2015,2016,2017,2018,2019,2022,2023,2024
A. ALBON,F1_01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,TM_01,TM_09,TM_09,TM_09
A. GIOVINAZZI,F1_02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,TM_07,#N/A,TM_18,#N/A,#N/A,#N/A
A. ROSSI,F1_03,#N/A,#N/A,#N/A,#N/A,TM_13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
A. SUTIL,F1_04,TM_06,#N/A,TM_06,TM_07,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
B. HARTLEY,F1_05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,TM_08,TM_08,#N/A,#N/A,#N/A,#N/A
B. SENNA,F1_06,TM_05,TM_09,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
C. LECLERC,F1_07,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,TM_07,TM_03,TM_03,TM_03,TM_03
C. PIC,F1_08,#N/A,TM_13,TM_19,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
C. SAINZ,F1_09,#N/A,#N/A,#N/A,#N/A,TM_08,TM_08,TM_08,TM_14,TM_02,TM_03,TM_03,TM_03
D. KVYAT,F1_10,#N/A,#N/A,#N/A,TM_08,TM_01,TM_08,TM_08,#N/A,TM_08,#N/A,#N/A,#N/A
D. RICCIARDO,F1_11,TM_11,TM_08,TM_08,TM_01,TM_01,TM_01,TM_01,TM_01,TM_14,TM_02,TM_08,TM_08
E. GUTIERREZ,F1_12,#N/A,#N/A,TM_07,TM_07,#N/A,TM_20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
E. OCON,F1_13,#N/A,#N/A,#N/A,#N/A,#N/A,TM_21,TM_06,TM_06,#N/A,TM_17,TM_17,TM_17
F. ALONSO,F1_14,TM_03,TM_03,TM_03,TM_03,TM_02,TM_02,TM_02,TM_02,#N/A,TM_17,TM_16,TM_16
F. COLAPINTO,F1_15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,TM_09
F. MASSA,F1_16,TM_03,TM_03,TM_03,TM_09,TM_09,TM_09,TM_09,#N/A,#N/A,#N/A,#N/A,#N/A
F. NASR,F1_17,#N/A,#N/A,#N/A,#N/A,TM_07,TM_07,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
G. RUSSELL,F1_18,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,TM_09,TM_04,TM_04,TM_04
G. van der GARDE,F1_19,#N/A,#N/A,TM_19,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
G. ZHOU,F1_20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,TM_18,TM_18,TM_07
H. KOVALAINEN,F1_21,TM_10,TM_19,TM_05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
J. ALGUERSUARI,F1_22,TM_08,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
J. BIANCHI,F1_23,#N/A,#N/A,TM_13,TM_13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
J. BUTTON,F1_24,TM_02,TM_02,TM_02,TM_02,TM_02,TM_02,TM_02,#N/A,#N/A,#N/A,#N/A,#N/A
J. d'AMBROSIO,F1_25,TM_12,TM_05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
J. DOOHAN,F1_26,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,TM_17
J. PALMER,F1_27,#N/A,#N/A,#N/A,#N/A,#N/A,TM_14,TM_14,#N/A,#N/A,#N/A,#N/A,#N/A
J. TRULLI,F1_28,TM_10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
J. VERGNE,F1_29,#N/A,TM_08,TM_08,TM_08,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
K. CHANDHOK,F1_30,TM_10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
K. KOBAYASHI,F1_31,TM_07,TM_07,#N/A,TM_19,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
K. MAGNUSSEN,F1_32,#N/A,#N/A,#N/A,TM_02,#N/A,TM_14,TM_20,TM_20,TM_20,TM_20,TM_20,TM_20
K. RAIKKONEN,F1_33,#N/A,TM_05,TM_05,TM_03,TM_03,TM_03,TM_03,TM_03,TM_18,#N/A,#N/A,#N/A
L. HAMILTON,F1_34,TM_02,TM_02,TM_04,TM_04,TM_04,TM_04,TM_04,TM_04,TM_04,TM_04,TM_04,TM_04
L. LAWSON,F1_35,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,TM_08,TM_08
L. NORRIS,F1_36,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,TM_02,TM_02,TM_02,TM_02
L. SARGEANT,F1_37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,TM_09,TM_09
L. STROLL,F1_38,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,TM_09,TM_09,TM_15,TM_16,TM_16,TM_16
M. CHILTON,F1_39,#N/A,#N/A,TM_13,TM_13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
M. ERICSSON,F1_40,#N/A,#N/A,#N/A,TM_19,TM_07,TM_07,TM_07,TM_07,TM_03,TM_03,TM_03,TM_03
M. SCHUMACHER,F1_41,TM_04,TM_04,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,TM_20,#N/A,#N/A
M. VERSTAPPEN,F1_42,#N/A,#N/A,#N/A,#N/A,TM_08,TM_01,TM_01,TM_01,TM_01,TM_01,TM_01,TM_01
M. WEBBER,F1_43,TM_01,TM_01,TM_01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
N. de VRIES,F1_44,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,TM_09,TM_08,#N/A
N. HEIDFELD,F1_45,TM_05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
N. HULKENBERG,F1_46,#N/A,TM_06,TM_06,TM_06,TM_06,TM_06,TM_14,TM_14,TM_14,TM_16,TM_20,TM_20
N. KARTHIKEYAN,F1_47,TM_11,TM_11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
N. LATIFI,F1_48,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,TM_09,#N/A,#N/A
N. ROSBERG,F1_49,TM_04,TM_04,TM_04,TM_04,TM_04,TM_04,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
O. BEARMAN,F1_50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,TM_20
O. PIASTRI,F1_51,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,TM_02,TM_02
P. de la ROSA,F1_52,TM_07,TM_11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
P. di RESTA,F1_53,TM_06,TM_06,TM_06,#N/A,#N/A,#N/A,TM_09,#N/A,#N/A,#N/A,#N/A,#N/A
P. GASLY,F1_54,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,TM_08,TM_08,TM_08,TM_08,TM_17,TM_17
