Drivers,Drivers_id,Team_id,Year,Australia,Malaysia,China,Turkey,Bahrain,Spain,Monaco,Canada,Europe,France,Azerbaijan,Austria,Britain,Germany,Hungary,Belgium,Italy,Netherlands,Singapore,Japan,Russia,Emilia_Romagna,South_Korea,India,Abu_Dhabi,Qatar,Saudi_Arabia,USA,Brazil,Las_Vagas,Miami,Mexico,Total_Points
M. VERSTAPPEN,F1_42,TM_01,2024,0,NULL,33,NULL,26,25,8,25,NULL,NULL,10,18,18,NULL,10,12,8,18,18,26,NULL,25,NULL,NULL,8,26,25,23,31,10,26,8,437
L. NORRIS,F1_36,TM_02,2024,15,NULL,21,NULL,8,19,12,18,NULL,NULL,13,6,15,NULL,18,10,16,26,25,10,NULL,18,NULL,NULL,25,9,4,18,16,9,25,18,374
C. LECLERC,F1_07,TM_03,2024,19,NULL,17,NULL,12,10,25,0,NULL,NULL,18,2,0,NULL,12,15,25,15,10,12,NULL,15,NULL,NULL,15,22,16,30,16,12,22,16,356
O. PIASTRI,F1_51,TM_02,2024,12,NULL,6,NULL,4,6,18,10,NULL,NULL,25,25,12,NULL,25,18,18,12,15,4,NULL,12,NULL,NULL,1,23,12,10,11,6,3,4,292
C. SAINZ,F1_09,TM_03,2024,25,NULL,14,NULL,15,8,15,0,NULL,NULL,0,19,11,NULL,8,8,12,10,6,15,NULL,10,NULL,NULL,18,13,0,25,4,15,14,25,290
G. RUSSELL,F1_18,TM_04,2024,0,NULL,9,NULL,10,12,10,15,NULL,NULL,15,30,0,NULL,5,0,6,6,12,6,NULL,7,NULL,NULL,10,18,8,12,15,25,4,10,245
L. HAMILTON,F1_34,TM_04,2024,0,NULL,9,NULL,6,15,7,13,NULL,NULL,2,15,25,NULL,15,25,10,4,8,2,NULL,8,NULL,NULL,12,3,2,3,1,18,8,12,223
S. PEREZ,F1_63,TM_01,2024,10,NULL,21,NULL,18,4,0,0,NULL,NULL,0,7,0,NULL,6,7,4,8,1,18,NULL,4,NULL,NULL,0,0,18,6,1,1,18,0,152
F. ALONSO,F1_14,TM_16,2024,4,NULL,7,NULL,2,0,0,8,NULL,NULL,8,0,4,NULL,0,4,0,1,4,8,NULL,0,NULL,NULL,2,6,10,0,0,0,2,0,70
P. GASLY,F1_54,TM_17,2024,0,NULL,0,NULL,0,2,1,2,NULL,NULL,0,1,0,NULL,0,0,0,2,0,0,NULL,0,NULL,NULL,6,10,0,0,17,0,0,1,42
N. HULKENBERG,F1_46,TM_20,2024,2,NULL,1,NULL,0,0,0,0,NULL,NULL,0,8,8,NULL,0,0,0,0,2,0,NULL,0,NULL,NULL,4,2,1,5,0,4,2,2,41
